Club,Championnat,Joueur,Date de naissance,Poste,Equipe nationale,Pied fort,Valeur marchande,Statut contrat,Date fin de contrat,Date début de contrat,Club précédent
Paris Saint-Germain,Ligue 1,Ousmane Dembélé,1997-05-15,Ailier droit,France,ambidextre,90000000,sous contrat,2028-06-30,2023-08-12,FC Barcelone
Paris Saint-Germain,Ligue 1,Khvicha Kvaratskhelia,2001-02-12,Ailier gauche,Géorgie,ambidextre,90000000,sous contrat,2029-06-30,2025-01-17,SSC Napoli
Paris Saint-Germain,Ligue 1,Désiré Doué,2005-06-03,Ailier droit,France,droit,90000000,sous contrat,2029-06-30,2024-08-17,Stade Rennais FC
Paris Saint-Germain,Ligue 1,Achraf Hakimi,1998-11-04,Arrière droit,Maroc,droit,80000000,sous contrat,2029-06-30,2021-07-06,Inter Milan
Paris Saint-Germain,Ligue 1,Vitinha,2000-02-13,Milieu central,Portugal,droit,80000000,sous contrat,2029-06-30,2022-07-01,FC Porto
Paris Saint-Germain,Ligue 1,João Neves,2004-09-27,Milieu défensif,Portugal,droit,80000000,sous contrat,2029-06-30,2024-08-05,SL Benfica
Paris Saint-Germain,Ligue 1,Nuno Mendes,2002-06-19,Arrière gauche,Portugal,gauche,70000000,sous contrat,2029-06-30,2022-07-01,Sporting CP
Paris Saint-Germain,Ligue 1,Bradley Barcola,2002-09-02,Ailier gauche,France,droit,70000000,sous contrat,2028-06-30,2023-08-31,Olympique Lyonnais
Paris Saint-Germain,Ligue 1,Willian Pacho,2001-10-16,Défenseur central,Équateur,gauche,65000000,sous contrat,2029-06-30,2024-08-09,Eintracht Francfort
Paris Saint-Germain,Ligue 1,Warren Zaïre-Emery,2006-03-08,Milieu central,France,droit,55000000,sous contrat,2029-06-30,2022-07-01,Paris SG U19
Paris Saint-Germain,Ligue 1,Gianluigi Donnarumma,1999-02-25,Gardien de but,Italie,droit,40000000,sous contrat,2026-06-30,2021-07-14,AC Milan
Paris Saint-Germain,Ligue 1,Fabián Ruiz,1996-04-03,Milieu central,Espagne,gauche,40000000,sous contrat,2027-06-30,2022-08-30,SSC Napoli
Paris Saint-Germain,Ligue 1,Gonçalo Ramos,2001-06-20,Avant-centre,Portugal,droit,40000000,sous contrat,2028-06-30,2024-01-01,SL Benfica
Paris Saint-Germain,Ligue 1,Marquinhos,1994-05-14,Défenseur central,Brésil,droit,35000000,sous contrat,2028-06-30,2013-07-19,AS Roma
Paris Saint-Germain,Ligue 1,Lucas Hernández,1996-02-14,Arrière gauche,France,gauche,25000000,sous contrat,2028-06-30,2023-07-09,Bayern Munich
Paris Saint-Germain,Ligue 1,Kang-in Lee,2001-02-19,Ailier droit,Corée du Sud,gauche,25000000,sous contrat,2028-06-30,2023-07-08,RCD Mallorca
Paris Saint-Germain,Ligue 1,Lucas Beraldo,2003-11-24,Défenseur central,Brésil,gauche,25000000,sous contrat,2028-06-30,2024-01-01,FC São Paulo
Paris Saint-Germain,Ligue 1,Marco Asensio,1996-01-21,Milieu offensif,Espagne,gauche,20000000,sous contrat,2026-06-30,2023-07-06,Real Madrid
Paris Saint-Germain,Ligue 1,Matvey Safonov,1999-02-25,Gardien de but,Russie,droit,20000000,sous contrat,2029-06-30,2024-07-01,FK Krasnodar
Paris Saint-Germain,Ligue 1,Carlos Soler,1997-01-02,Milieu central,Espagne,droit,18000000,sous contrat,2027-06-30,2022-09-01,FC Valence
Paris Saint-Germain,Ligue 1,Milan Škriniar,1995-02-11,Défenseur central,Slovaquie,droit,15000000,sous contrat,2028-06-30,2023-07-06,Inter Milan
Paris Saint-Germain,Ligue 1,Senny Mayulu,2006-05-17,Milieu central,France,ambidextre,15000000,sous contrat,2027-06-30,2024-01-01,Paris SG U19
Paris Saint-Germain,Ligue 1,Nordi Mukiele,1997-11-01,Arrière droit,France,droit,10000000,sous contrat,2027-06-30,2022-07-26,RB Leipzig
Paris Saint-Germain,Ligue 1,Gabriel Moscardo,2005-09-28,Milieu défensif,Brésil,droit,8000000,sous contrat,2028-06-30,2024-01-25,Corinthians
Paris Saint-Germain,Ligue 1,Presnel Kimpembe,1995-08-13,Défenseur central,France,gauche,5000000,sous contrat,2026-06-30,2015-07-01,Paris SG B
Paris Saint-Germain,Ligue 1,Renato Sanches,1997-08-18,Milieu central,Portugal,droit,3000000,sous contrat,2027-06-30,2022-08-04,LOSC Lille
Paris Saint-Germain,Ligue 1,Arnau Tenas,2001-05-30,Gardien de but,Espagne,droit,3000000,sous contrat,2026-06-30,2023-07-30,FC Barcelone Atlètic
Paris Saint-Germain,Ligue 1,Ibrahim Mbaye,2008-01-24,Ailier droit,France,droit,3000000,sous contrat,2027-06-30,2025-07-01,Paris SG Espoirs
Paris Saint-Germain,Ligue 1,Ilyes Housni,2005-05-14,Avant-centre,Maroc,droit,1500000,sous contrat,2026-06-30,2023-07-01,Paris SG U19
Paris Saint-Germain,Ligue 1,Lucas Lavallée,2003-02-18,Gardien de but,France,droit,200000,sous contrat,2026-06-30,2022-07-01,Paris SG U19
FC Barcelone,LaLiga,Lamine Yamal,2007-07-13,Ailier droit,Espagne,gauche,200000000,sous contrat,2031-06-30,2023-07-01,FC Barcelone U19
FC Barcelone,LaLiga,Pedri,2002-11-25,Milieu central,Espagne,droit,140000000,sous contrat,2030-06-30,2019-09-02,UD Las Palmas
FC Barcelone,LaLiga,Raphinha,1996-12-14,Ailier gauche,Brésil,gauche,90000000,sous contrat,2028-06-30,2022-07-13,Leeds United
FC Barcelone,LaLiga,Pau Cubarsí,2007-01-22,Défenseur central,Espagne,droit,80000000,sous contrat,2029-06-30,2024-01-01,FC Barcelone Atlètic
FC Barcelone,LaLiga,Jules Koundé,1998-11-12,Arrière droit,France,droit,65000000,sous contrat,2027-06-30,2022-07-28,Séville FC
FC Barcelone,LaLiga,Dani Olmo,1998-05-07,Milieu offensif,Espagne,droit,60000000,sous contrat,2030-06-30,2024-08-09,RB Leipzig
FC Barcelone,LaLiga,Alejandro Balde,2003-10-18,Arrière gauche,Espagne,gauche,60000000,sous contrat,2028-06-30,2022-07-01,FC Barcelone Atlètic
FC Barcelone,LaLiga,Gavi,2004-08-05,Milieu central,Espagne,droit,60000000,sous contrat,2030-06-30,2021-07-01,FC Barcelone U19
FC Barcelone,LaLiga,Fermín López,2003-05-11,Milieu offensif,Espagne,droit,50000000,sous contrat,2029-06-30,2023-07-01,FC Barcelone Atlètic
FC Barcelone,LaLiga,Frenkie de Jong,1997-05-12,Milieu central,Pays-Bas,droit,45000000,sous contrat,2026-06-30,2019-07-01,Ajax Amsterdam
FC Barcelone,LaLiga,Ferran Torres,2000-02-29,Avant-centre,Espagne,droit,40000000,sous contrat,2027-06-30,2022-01-01,Manchester City
FC Barcelone,LaLiga,Ronald Araujo,1999-03-07,Défenseur central,Uruguay,droit,35000000,sous contrat,2031-06-30,2020-10-05,FC Barcelona B
FC Barcelone,LaLiga,Marc Casadó,2003-09-14,Milieu défensif,Espagne,droit,30000000,sous contrat,2028-06-30,2024-07-01,FC Barcelone Atlètic
FC Barcelone,LaLiga,Joan García,2001-05-04,Gardien de but,Espagne,droit,25000000,sous contrat,2031-06-30,2025-07-01,Espanyol Barcelona
FC Barcelone,LaLiga,Eric García,2001-01-09,Défenseur central,Espagne,droit,18000000,sous contrat,2026-06-30,2021-07-01,Manchester City
FC Barcelone,LaLiga,Robert Lewandowski,1988-08-21,Avant-centre,Pologne,droit,12000000,sous contrat,2026-06-30,2022-07-19,Bayern Munich
FC Barcelone,LaLiga,Marc-André ter Stegen,1992-04-30,Gardien de but,Allemagne,droit,12000000,sous contrat,2028-06-30,2014-07-01,Borussia Mönchengladbach
FC Barcelone,LaLiga,Andreas Christensen,1996-04-10,Défenseur central,Danemark,droit,12000000,sous contrat,2026-06-30,2022-07-04,Chelsea FC
FC Barcelone,LaLiga,Gerard Martín,2002-02-26,Arrière gauche,Espagne,gauche,12000000,sous contrat,2028-06-30,2024-07-01,FC Barcelone Atlètic
FC Barcelone,LaLiga,Héctor Fort,2006-08-02,Arrière droit,Espagne,droit,10000000,sous contrat,2026-06-30,2024-07-01,FC Barcelone Atlètic
FC Barcelone,LaLiga,Iñaki Peña,1999-03-02,Gardien de but,Espagne,droit,8000000,sous contrat,2026-06-30,2022-01-30,FC Barcelona B
FC Barcelone,LaLiga,Pablo Torre,2003-04-03,Milieu offensif,Espagne,droit,6000000,sous contrat,2026-06-30,2022-07-01,Racing Santander
FC Barcelone,LaLiga,Iñigo Martínez,1991-05-17,Défenseur central,Espagne,gauche,5000000,sous contrat,2026-06-30,2023-07-05,Athletic Bilbao
FC Barcelone,LaLiga,Marc Bernal,2007-05-26,Milieu défensif,Espagne,gauche,5000000,sous contrat,2026-06-30,2024-07-01,FC Barcelone Atlètic
FC Barcelone,LaLiga,Pau Víctor,2001-11-26,Avant-centre,Espagne,droit,4000000,sous contrat,2029-06-30,2024-07-24,Girona FC
FC Barcelone,LaLiga,Oriol Romeu,1991-09-24,Milieu défensif,Espagne,droit,1200000,sous contrat,2026-06-30,2023-07-19,Girona FC
Libre,,Wojciech Szczesny,1990-04-18,Gardien de but,Pologne,droit,1000000,Libre,2025-06-30,2024-10-02,FC Barcelone
Manchester City,Premier League,Erling Haaland,2000-07-21,Avant-centre,Norvège,gauche,180000000,sous contrat,2034-06-30,2022-07-01,Borussia Dortmund
Manchester City,Premier League,Rodri,1996-06-22,Milieu défensif,Espagne,droit,110000000,sous contrat,2027-06-30,2019-07-04,Atlético de Madrid
Manchester City,Premier League,Phil Foden,2000-05-28,Ailier droit,Angleterre,gauche,100000000,sous contrat,2027-06-30,2017-07-01,Manchester City U18
Manchester City,Premier League,Omar Marmoush,1999-02-07,Avant-centre,Égypte,droit,75000000,sous contrat,2029-06-30,2025-01-23,Eintracht Francfort
Manchester City,Premier League,Josko Gvardiol,2002-01-23,Arrière gauche,Croatie,gauche,75000000,sous contrat,2028-06-30,2023-08-05,RB Leipzig
Manchester City,Premier League,Rúben Dias,1997-05-14,Défenseur central,Portugal,droit,65000000,sous contrat,2027-06-30,2020-09-29,SL Benfica
Manchester City,Premier League,Tijjani Reijnders,1998-07-29,Milieu central,Pays-Bas,droit,60000000,sous contrat,2030-06-30,2025-06-10,AC Milan
Manchester City,Premier League,Jérémy Doku,2002-05-27,Ailier gauche,Belgique,droit,50000000,sous contrat,2028-06-30,2023-08-24,Stade Rennais FC
Manchester City,Premier League,Savinho,2004-04-10,Ailier droit,Brésil,gauche,50000000,sous contrat,2029-06-30,2024-07-18,ESTAC Troyes
Manchester City,Premier League,Rayan Cherki,2003-08-17,Ailier droit,France,ambidextre,45000000,sous contrat,2030-06-30,2025-06-10,Olympique Lyonnais
Manchester City,Premier League,Nico González,2002-01-03,Milieu central,Espagne,droit,40000000,sous contrat,2029-06-30,2025-02-03,FC Porto
Manchester City,Premier League,Rico Lewis,2004-11-21,Arrière droit,Angleterre,droit,40000000,sous contrat,2028-06-30,2022-07-01,Manchester City U18
Manchester City,Premier League,Bernardo Silva,1994-08-10,Milieu offensif,Portugal,gauche,38000000,sous contrat,2026-06-30,2017-07-01,AS Monaco
Manchester City,Premier League,Rayan Aït-Nouri,2001-06-06,Arrière gauche,Algérie,gauche,35000000,sous contrat,2030-06-30,2025-06-09,Wolverhampton Wanderers
Manchester City,Premier League,Matheus Nunes,1998-08-27,Milieu central,Portugal,droit,35000000,sous contrat,2028-06-30,2023-09-01,Wolverhampton Wanderers
Manchester City,Premier League,Abdukodir Khusanov,2004-02-29,Défenseur central,Ouzbékistan,droit,35000000,sous contrat,2029-06-30,2025-01-20,RC Lens
Manchester City,Premier League,Vitor Reis,2006-01-12,Défenseur central,Brésil,droit,30000000,sous contrat,2029-06-30,2025-01-21,Sociedade Esportiva Palmeiras
Manchester City,Premier League,Jack Grealish,1995-09-10,Ailier gauche,Angleterre,droit,28000000,sous contrat,2027-06-30,2021-08-05,Aston Villa
Manchester City,Premier League,Manuel Akanji,1995-07-19,Défenseur central,Suisse,droit,28000000,sous contrat,2027-06-30,2022-09-01,Borussia Dortmund
Manchester City,Premier League,Nathan Aké,1995-02-18,Défenseur central,Pays-Bas,gauche,25000000,sous contrat,2027-06-30,2020-08-05,AFC Bournemouth
Manchester City,Premier League,John Stones,1994-05-28,Défenseur central,Angleterre,droit,25000000,sous contrat,2026-06-30,2016-08-09,FC Everton
Manchester City,Premier League,Oscar Bobb,2003-07-12,Ailier droit,Norvège,gauche,25000000,sous contrat,2029-06-30,2023-07-01,Manchester City U21
Manchester City,Premier League,Mateo Kovacic,1994-05-06,Milieu central,Croatie,droit,20000000,sous contrat,2027-06-30,2023-07-01,Chelsea FC
Manchester City,Premier League,Ederson,1993-08-17,Gardien de but,Brésil,gauche,20000000,sous contrat,2026-06-30,2017-07-01,SL Benfica
Manchester City,Premier League,James McAtee,2002-10-18,Milieu offensif,Angleterre,gauche,20000000,sous contrat,2026-06-30,2023-07-01,Manchester City U21
Manchester City,Premier League,Nico O'Reilly,2005-03-21,Milieu offensif,Angleterre,gauche,18000000,sous contrat,2028-06-30,2024-07-01,Manchester City U21
Manchester City,Premier League,Claudio Echeverri,2006-01-02,Milieu offensif,Argentine,droit,18000000,sous contrat,2028-06-30,2024-01-25,CA River Plate
Manchester City,Premier League,Kalvin Phillips,1995-12-02,Milieu défensif,Angleterre,droit,12000000,sous contrat,2028-06-30,2022-07-04,Leeds United
Manchester City,Premier League,Stefan Ortega,1992-11-06,Gardien de but,Allemagne,droit,8000000,sous contrat,2026-06-30,2022-07-01,Arminia Bielefeld
Manchester City,Premier League,İlkay Gündoğan,1990-10-24,Milieu central,Allemagne,droit,5000000,sous contrat,2026-06-30,2024-08-23,FC Barcelone
Manchester City,Premier League,Kyle Walker,1990-05-28,Arrière droit,Angleterre,droit,4000000,sous contrat,2026-06-30,2017-07-14,Tottenham Hotspur
Manchester City,Premier League,Josh Wilson-Esbrand,2002-12-26,Arrière gauche,Angleterre,gauche,4000000,sous contrat,2027-06-30,2023-01-01,Manchester City U21
Manchester City,Premier League,Issa Kaboré,2001-05-12,Arrière droit,Burkina Faso,droit,4000000,sous contrat,2027-06-30,2020-07-29,KV Mechelen
Manchester City,Premier League,Marcus Bettinelli,1992-05-24,Gardien de but,Angleterre,droit,600000,sous contrat,2026-06-30,2025-06-10,Chelsea FC
Inter Milan,Serie A,Lautaro Martínez,1997-08-22,Avant-centre,Argentine,droit,95000000,sous contrat,2029-06-30,2018-07-04,Racing Club
Inter Milan,Serie A,Alessandro Bastoni,1999-04-13,Défenseur central,Italie,gauche,80000000,sous contrat,2028-06-30,2017-08-31,Atalanta BC
Inter Milan,Serie A,Nicolò Barella,1997-02-07,Milieu central,Italie,droit,75000000,sous contrat,2029-06-30,2020-09-01,Cagliari Calcio
Inter Milan,Serie A,Marcus Thuram,1997-08-06,Avant-centre,France,droit,75000000,sous contrat,2028-06-30,2023-07-01,Borussia Mönchengladbach
Inter Milan,Serie A,Federico Dimarco,1997-11-10,Arrière gauche,Italie,gauche,50000000,sous contrat,2027-06-30,2018-07-05,FC Sion
Inter Milan,Serie A,Denzel Dumfries,1996-04-18,Arrière droit,Pays-Bas,droit,35000000,sous contrat,2028-06-30,2021-08-14,PSV Eindhoven
Inter Milan,Serie A,Davide Frattesi,1999-09-22,Milieu central,Italie,droit,35000000,sous contrat,2028-06-30,2024-07-01,US Sassuolo
Inter Milan,Serie A,Yann Bisseck,2000-11-29,Défenseur central,Allemagne,droit,35000000,sous contrat,2029-06-30,2023-07-12,Aarhus GF
Inter Milan,Serie A,Hakan Çalhanoğlu,1994-02-08,Milieu défensif,Turquie,droit,30000000,sous contrat,2027-06-30,2021-07-01,AC Milan
Inter Milan,Serie A,Carlos Augusto,1999-01-07,Arrière gauche,Brésil,gauche,26000000,sous contrat,2028-06-30,2024-07-01,AC Monza
